timestamp	open	high	low	close	volume
2012-10-31	671.16	676.75	587.7	595.32	3035707500
2012-09-28	665.6834	705.07	656.0	667.105	2299751300
2012-08-31	615.905	680.87	600.25	665.24	2069051600
2012-07-31	584.73	619.87	570.0	610.76	2227412600
2012-06-29	569.16	590.0	548.5	584.0	1963956400
2012-05-31	584.9	596.76	522.18	577.73	2776586400
2012-04-30	601.83	644.0	555.0	583.98	3899747600
2012-03-30	548.17	621.45	516.221	599.55	3896084500
2012-02-29	458.41	547.61	453.98	542.44	2842138600
2012-01-31	409.4	458.24	409.0243	456.48	1714963600
2011-12-30	382.54	409.09	377.68	405.0	1576633100
2011-11-30	397.41	408.0	363.32	382.2	2240925400
2011-10-31	380.37	426.7	354.24	404.78	3285356900
2011-09-30	385.82	422.86	366.48	381.32	2994362000
2011-08-31	397.7667	399.5	353.02	384.83	4035649800
2011-07-29	335.95	404.5	334.2	390.48	2663486700
2011-06-30	348.87	352.132	310.5	335.67	2315962600
2011-05-31	349.74	351.83	329.42	347.83	1728015100
2011-04-29	351.11	355.13	320.16	350.13	2313457300
2011-03-31	355.47	361.67	326.26	348.507	2826614700
2011-02-28	341.3	364.9	337.72	353.21	2323987400
2011-01-31	325.64	348.6	324.837	339.32	2710383900
2010-12-31	315.27	326.66	314.89	322.56	1743308700
2010-11-30	302.22	321.3	297.76	311.15	2377021500
2010-10-29	286.146	319.0	277.77	300.98	3058644400
2010-09-30	247.47	294.73	246.28	283.75	2962479800
2010-08-31	260.44	264.28	235.56	243.1	2397280200
2010-07-30	254.3	265.99	239.6	257.25	3917426100
2010-06-30	259.69	279.01	242.2	251.53	4162813200
2010-05-28	263.8228	267.88	199.25	256.88	4520663700
2010-04-30	237.49	272.46	232.75	261.09	3091782400
2010-03-31	205.75	237.48	205.45	235.0	3038543200
2010-02-26	192.3612	205.17	190.85	204.62	2694020000
2010-01-29	213.43	215.59	190.25	192.063	3792248600
2009-12-31	202.24	213.95	188.68	210.732	2848489700
2009-11-30	189.8	208.0	185.57	199.91	2113696200
2009-10-30	185.35	208.71	180.7168	188.5	3239044200
2009-09-30	167.99	188.9	164.11	185.35	2497329800
2009-08-31	165.21	172.49	159.42	168.21	2041281200
2009-07-31	143.5	165.0	134.4102	163.39	2735534200
2009-06-30	136.47	146.4	132.88	142.43	3168893000
2009-05-29	125.8	135.9	119.38	135.81	2364285700
2009-04-30	104.09	127.2	103.89	125.83	2955420300
2009-03-31	88.12	109.98	82.33	105.12	3856149500
2009-02-27	89.1	103.0032	86.51	89.31	3466862700
2009-01-30	85.88	97.17	78.2	90.13	4526435200
2008-12-31	91.3	103.6	84.55	85.35	5053461700
2008-11-28	105.93	111.79	79.14	92.67	5904865400
2008-10-31	111.92	116.4	85.0	107.59	10356677800
2008-09-30	172.4	173.5	100.59	113.66	6016890600
2008-08-29	159.9	180.45	152.91	169.53	3271438800
2008-07-31	164.23	180.91	146.53	158.95	4937440200
2008-06-30	188.6	189.95	164.15	167.44	4868948700
2008-05-30	174.96	192.24	172.0	188.75	4647053600
2008-04-30	146.3	180.0	143.61	173.95	5696745600
2008-03-31	124.44	145.74	118.0	143.5	5731818400
2008-02-29	136.24	136.59	115.44	125.02	6216488600
2008-01-31	199.27	200.26	126.14	135.36	8793472100
2007-12-31	181.8594	202.96	176.99	198.08	4313169700
2007-11-30	188.6	192.68	150.63	182.22	6549947600
2007-10-31	154.63	190.12	152.93	189.95	5819447900
2007-09-28	139.94	155.0	130.0	153.47	5232805900
2007-08-31	133.64	139.65	111.62	138.48	6090199500
2007-07-31	121.05	148.92	119.3	131.76	6004643400
2007-06-29	121.1	127.61	115.4	122.04	5819885400
2007-05-31	99.59	122.17	98.55	121.191	4341267000
2007-04-30	94.14	102.5	89.6	99.8	3364935000
2007-03-30	84.03	96.83	83.75	92.91	3979661000
2007-02-28	86.23	90.81	82.86	84.61	3430588700
2007-01-31	86.2948	97.8	81.9	85.73	6802445300
2006-12-29	91.8	92.33	76.77	84.84	4222698200
2006-11-30	81.1	93.159	77.79	91.66	3458721000
2006-10-31	75.1	82.6	72.6	81.08	3596989200
2006-09-29	68.48	77.78	67.82	76.98	4430389600
2006-08-31	67.22	70.0	62.58	67.85	4471911500
2006-07-31	57.52	68.63	50.16	67.96	4369935500
2006-06-30	59.85	63.1	55.41	57.27	4484155900
2006-05-31	70.77	73.8	58.69	59.77	3902194800
2006-04-28	63.67	72.05	61.05	70.39	5029820600
2006-03-31	68.84	69.9908	57.67	62.72	5798158100
2006-02-28	74.95	76.46	62.9	68.49	4690174300
2006-01-31	72.38	86.4	70.87	75.51	5469592800
2005-12-30	68.95	75.46	68.8099	71.89	3266041100
2005-11-30	57.24	71.07	56.87	67.82	3364106900
2005-10-31	54.16	57.98	47.87	57.59	4660861800
2005-09-30	47.0	54.56	46.09	53.61	3086942600
2005-08-31	42.57	48.3298	42.02	46.89	2350201700
2005-07-29	36.83	44.38	36.2921	42.65	2523561600
2005-06-30	39.89	40.76	35.52	36.81	2831798900
2005-05-31	36.21	40.94	33.11	39.759	3214573600
2005-04-29	42.09	44.45	34.0	36.06	4843879600
2005-03-31	44.99	45.11	38.83	41.67	3668980000
2005-02-28	77.02	90.88	43.96	44.86	5362236600
